revenue_region_no,province,municipality,barangay,street_subdivision,vicinity,classification,zonal_value
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DONA MARIA G. CASTRO ST (BRILLANTES STREET),D SAMONTE ST. - PRIMO LAZARO ST(P. BURGOS ST),RR,"7,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DONA MARIA G. CASTRO ST (BRILLANTES STREET),PRIMO LAZARO ST(P BURGOS ST)- RIZAL ST,CR*,"8,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DONA MARIA G. CASTRO ST (BRILLANTES STREET),D SAMONTE ST. - RIZAL ST,RR,"7,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),DONA MARIA G. CASTRO ST (BRILLANTES STREET),INTERIOR,RR,"5,500.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),D SAMONTE STREET,GOV. AGUEDO AGBAYANI ST(NOVALES ST) - JP RIZAL ST,CR,"10,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),D SAMONTE STREET,GOV. AGUEDO AGBAYANI ST(NOVALES ST) - JP RIZAL ST,RR,"8,700.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),F R CASTRO AVENUE,P DE GUAM ST - F R CASTRO,RR,"8,400.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),F R CASTRO AVENUE,P. DE GUAM ST. (AGBAYANI ST) -P. GUERRERO ST,RR,"8,100.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),F R CASTRO AVENUE,"P GUERRERO ST,-DEAD END",RR,"6,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),F R CASTRO AVENUE,GOV. AGUEDO AGBAYANI ST(NOVALES ST) - P DE GUAM ST,RR,"8,200.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GEN LUNA ST.,GOV. AGUEDO AGBAYANI ST(NOVALES ST) - DON PERFECTO GUERRERO ST(SORIANO ST),CR,"11,300.00"
" 01 - Calasiao, Pangasinan",ILOCOS NORTE,LAOAG CITY,NO. 1 - SAN LORENZO (POBLACION),GEN LUNA ST.,GOV. AGUEDO AGBAYANI ST(NOVALES ST) - DON PERFECTO GUERRERO ST(SORIANO ST),RR,"9,800.00"
